Date,Open,High,Low,Last,Volume
2013-05-16,165.78,166.36,165.09,165.34,109760300
2013-05-17,165.95,167.04,165.73,166.94,129667800
2013-05-20,166.78,167.58,166.61,166.93,84994240
2013-05-21,167.08,167.80,166.50,167.17,95640640
2013-05-22,167.34,169.07,165.17,165.93,243596300
2013-05-23,164.16,165.91,163.94,165.45,210748700
2013-05-24,164.47,165.38,163.98,165.31,151486500
2013-05-28,167.04,167.78,165.81,166.30,143326100
2013-05-29,165.42,165.80,164.34,165.22,160156600
2013-05-30,165.35,166.59,165.22,165.83,106431300
2013-05-31,165.37,166.31,163.13,163.45,176211800
2013-06-03,163.83,164.46,162.66,164.35,167951300
2013-06-04,164.44,165.10,162.73,163.56,157443600
2013-06-05,163.09,163.42,161.13,161.27,211143000
2013-06-06,161.20,162.74,160.25,162.73,200028000
2013-06-07,163.85,164.95,163.14,164.80,185733300
2013-06-10,165.31,165.40,164.37,164.80,102479900
2013-06-11,163.30,164.54,162.74,163.10,159367900
2013-06-12,164.22,164.39,161.60,161.75,176948100
2013-06-13,161.66,164.50,161.30,164.21,163116700
2013-06-14,164.03,164.67,162.91,163.18,141003300
2013-06-17,164.29,165.22,163.22,164.44,136042500
2013-06-18,164.53,165.99,164.52,165.74,114527700
2013-06-19,165.60,165.89,163.38,163.45,205854900
2013-06-20,161.86,163.47,158.98,159.40,320545400
2013-06-21,159.64,159.76,157.47,159.07,270455000
2013-06-24,157.41,158.43,155.73,157.06,221810000
2013-06-25,158.48,160.10,157.42,158.58,161955400
2013-06-26,159.87,160.50,159.25,160.14,134678800
2013-06-27,161.10,161.82,160.95,161.08,129356900
2013-06-28,160.63,161.40,159.86,160.42,156611200
2013-07-01,161.26,162.48,161.08,161.36,131502600
2013-07-02,161.12,162.30,160.50,161.21,144717800
2013-07-03,160.48,161.77,160.22,161.28,75216340
2013-07-05,162.47,163.08,161.30,163.02,122308200
2013-07-08,163.86,164.39,163.58,163.95,106769100
